Date,Price
2016-03-31,1.4208
2016-03-30,1.417
2016-03-29,1.4142
2016-03-24,1.4135
2016-03-23,1.4136
2016-03-22,1.4165
2016-03-21,1.4185
2016-03-18,1.4196
2016-03-17,1.4177
2016-03-16,1.412
2016-03-15,1.412
2016-03-14,1.4111
2016-03-11,1.4122
2016-03-10,1.4142
2016-03-09,1.4162
2016-03-08,1.4134
2016-03-07,1.4096
2016-03-04,1.4126
2016-03-03,1.4117
2016-03-02,1.4146
2016-03-01,1.4176
2016-02-29,1.4147
2016-02-26,1.4149
2016-02-25,1.413
2016-02-24,1.4131
2016-02-23,1.4112
2016-02-22,1.4103
2016-02-19,1.4114
2016-02-18,1.4066
2016-02-17,1.4086
2016-02-16,1.4087
2016-02-15,1.4087
2016-02-12,1.4079
2016-02-11,1.408
2016-02-05,1.4015
2016-02-04,1.3987
2016-02-03,1.3968
2016-02-02,1.4026
2016-02-01,1.4037
2016-01-29,1.3999
2016-01-28,1.3961
2016-01-27,1.3972
2016-01-26,1.3972
2016-01-25,1.3973
2016-01-22,1.3935
2016-01-21,1.3878
2016-01-20,1.3898
2016-01-19,1.4014
2016-01-18,1.4044
2016-01-15,1.4065
2016-01-14,1.4065
2016-01-13,1.4046
2016-01-12,1.4028
2016-01-11,1.4028
2016-01-08,1.402
2016-01-07,1.404
2016-01-06,1.4021
2016-01-05,1.4002
2016-01-04,1.4003
2015-12-31,1.3976
2015-12-30,1.3967
2015-12-29,1.3986
2015-12-28,1.3987
2015-12-24,1.3989
2015-12-23,1.399
2015-12-22,1.401
2015-12-21,1.4
2015-12-18,1.4012
2015-12-17,1.3974
2015-12-16,1.3974
2015-12-15,1.3994
2015-12-14,1.4004
2015-12-11,1.4006
2015-12-10,1.4006
2015-12-09,1.3997
2015-12-08,1.3998
2015-12-07,1.3989
2015-12-04,1.3971
2015-12-03,1.4
2015-12-02,1.402
2015-12-01,1.4001
2015-11-30,1.3992
2015-11-27,1.3984
2015-11-26,1.3985
2015-11-25,1.3975
2015-11-24,1.3966
2015-11-23,1.3957
2015-11-20,1.3958
2015-11-19,1.3949
2015-11-18,1.395
2015-11-17,1.3941
2015-11-16,1.3951
2015-11-13,1.3914
2015-11-12,1.3905
2015-11-11,1.3905
2015-11-10,1.3886
2015-11-09,1.3887
2015-11-06,1.3946
2015-11-05,1.3957
2015-11-04,1.3967
2015-11-03,1.3977
2015-11-02,1.3997
2015-10-30,1.3999
2015-10-29,1.4028
2015-10-28,1.4058
2015-10-27,1.4058
2015-10-26,1.4039
2015-10-23,1.4041
2015-10-22,1.4041
2015-10-20,1.4033
2015-10-19,1.4024
2015-10-16,1.4035
2015-10-15,1.4055
2015-10-14,1.4026
2015-10-13,1.3998
2015-10-12,1.3979
2015-10-09,1.398
2015-10-08,1.399
2015-10-07,1.3981
2015-10-06,1.3982
2015-10-05,1.3992
2015-10-02,1.3964
2015-09-30,1.3965
2015-09-29,1.3976
2015-09-25,1.3929
2015-09-24,1.3939
2015-09-23,1.3969
2015-09-22,1.394
2015-09-21,1.3941
2015-09-18,1.3943
2015-09-17,1.3885
2015-09-16,1.3866
2015-09-15,1.3896
2015-09-14,1.3896
2015-09-11,1.3878
2015-09-10,1.3879
2015-09-09,1.387
2015-09-08,1.388
2015-09-07,1.388
2015-09-04,1.3882
2015-09-02,1.3854
2015-09-01,1.3855
2015-08-31,1.3846
2015-08-28,1.3885
2015-08-27,1.3905
2015-08-26,1.3905
2015-08-25,1.3925
2015-08-24,1.3925
2015-08-21,1.3937
2015-08-20,1.3937
2015-08-19,1.3918
2015-08-18,1.3909
2015-08-17,1.388
2015-08-14,1.3892
2015-08-13,1.3902
2015-08-12,1.3941
2015-08-11,1.3932
2015-08-10,1.3923
2015-08-07,1.3915
2015-08-06,1.3915
2015-08-05,1.3906
2015-08-04,1.3945
2015-08-03,1.3946
2015-07-31,1.3918
2015-07-30,1.3899
2015-07-29,1.3919
2015-07-28,1.393
2015-07-27,1.393
2015-07-24,1.3912
2015-07-23,1.3893
2015-07-22,1.3894
2015-07-21,1.3875
2015-07-20,1.3875
2015-07-17,1.3896
2015-07-16,1.3887
2015-07-15,1.3888
2015-07-14,1.3859
2015-07-13,1.386
2015-07-10,1.389
2015-07-09,1.3929
2015-07-08,1.3949
2015-07-07,1.3921
2015-07-06,1.3921
2015-07-03,1.3884
2015-07-02,1.3865
2015-06-30,1.3914
2015-06-29,1.3915
2015-06-26,1.3877
2015-06-25,1.3888
2015-06-24,1.3888
2015-06-23,1.3879
2015-06-22,1.3899
2015-06-19,1.391
2015-06-18,1.3911
2015-06-17,1.3882
2015-06-16,1.3882
2015-06-15,1.3873
2015-06-12,1.3865
2015-06-11,1.3836
2015-06-10,1.3827
2015-06-09,1.3867
2015-06-08,1.3848
2015-06-05,1.3879
2015-06-04,1.3889
2015-06-03,1.3909
2015-06-02,1.3958
2015-06-01,1.3968
2015-05-29,1.398
2015-05-28,1.397
2015-05-27,1.3961
2015-05-26,1.3942
2015-05-22,1.3954
2015-05-21,1.3945
2015-05-20,1.3916
2015-05-19,1.3916
2015-05-18,1.3946
2015-05-15,1.3938
2015-05-14,1.3909
2015-05-13,1.389
2015-05-12,1.3881
2015-05-11,1.3921
2015-05-08,1.3912
2015-05-07,1.3884
2015-05-06,1.3904
2015-05-05,1.3943
2015-05-04,1.3944
2015-04-30,1.3985
2015-04-29,1.3995
2015-04-28,1.4015
2015-04-27,1.4035
2015-04-24,1.4027
2015-04-23,1.3999
2015-04-22,1.4009
2015-04-21,1.4029
2015-04-20,1.4039
2015-04-17,1.4041
2015-04-16,1.4041
2015-04-15,1.4032
2015-04-14,1.4013
2015-04-13,1.3995
2015-04-10,1.3996
2015-04-09,1.4016
2015-04-08,1.4017
2015-04-02,1.401
2015-04-01,1.3981
2015-03-31,1.3972
2015-03-30,1.3963
2015-03-27,1.3945
2015-03-26,1.3965
2015-03-25,1.3995
2015-03-24,1.3976
2015-03-23,1.3966
2015-03-20,1.3938
2015-03-19,1.3949
2015-03-18,1.389
2015-03-17,1.3862
2015-03-16,1.3852
